Formula,SMILES,Tot_atoms,Tot_nH_atoms,Dataset_no,Molecular_weight,IUPAC_chemname,Metalloid,EPISUITE,InChI_Code,InChI_Key,Boiling_Point,BP_basis,EPIsuite_output,MP,Basis,Life
C2H6ClP,CPCCl,10,4,3607,96.4938,(chloromethyl)(methyl)phosphane,N,CPCCl,"InChI=1S/C2H6ClP/c1-4-2-3/h4H,2H2,1H3",InChIKey=DSHGMTJBCAUMGV-UHFFFAOYSA-N,80.31,Pr,    80.31(BP est)    -91.35(MP est)      ----(BP exp)      ----(MP exp)  CPCCl ,-91.35,Pred,N
CH3ClFP,PC(Cl)F,7,4,3895,100.457,(chlorofluoromethyl)phosphane,N,PC(Cl)F,"InChI=1S/CH3ClFP/c2-1(3)4/h1H,4H2",InChIKey=VRKAUCYCUPAARF-UHFFFAOYSA-N,50.17,Pr,    50.17(BP est)   -104.81(MP est)      ----(BP exp)      ----(MP exp)  PC(Cl)F ,-104.81,Pred,N
CH3Cl2P,ClC(P)Cl,7,4,5839,116.909,(dichloromethyl)phosphane,N,ClC(P)Cl,"InChI=1S/CH3Cl2P/c2-1(3)4/h1H,4H2",InChIKey=AWYDVYYDVPFOMZ-UHFFFAOYSA-N,100.86,Pr,   100.86(BP est)    -75.34(MP est)      ----(BP exp)      ----(MP exp)  ClC(P)Cl ,-75.34,Pred,N
P4,P12P3P1P23,4,4,6227,123.895,"tricyclo[1.1.0.0(2,4)]tetraphosphane",N,P12P3P1P23,InChI=1S/P4/c1-2-3(1)4(1)2,InChIKey=OBSZRRSYVTXPNB-UHFFFAOYSA-N,94.3143118,Pr,   523.70(BP est)    207.57(MP est)      ----(BP exp)      ----(MP exp)  P12P3P1P23 ,207.57,Pred,N
C2H4BrP,PC(Br)=C,8,4,7006,138.932,(1-bromovinyl)phosphane,N,PC(Br)=C,"InChI=1S/C2H4BrP/c1-2(3)4/h1,4H2",InChIKey=WCENSIPHIDKBHP-UHFFFAOYSA-N,106.4,Pr,   106.40(BP est)    -68.47(MP est)      ----(BP exp)      ----(MP exp)  PC(Br)=C ,-68.47,Pred,N
C2H4BrP,PC=CBr,8,4,7007,138.932,(2-bromovinyl)phosphane,N,PC=CBr,"InChI=1S/C2H4BrP/c3-1-2-4/h1-2H,4H2",InChIKey=QRZKNHXVNVNUCD-UHFFFAOYSA-N,121.8,Pr,   121.80(BP est)    -58.66(MP est)      ----(BP exp)      ----(MP exp)  PC=CBr ,-58.66,Pred,N
C2H4BrP,BrC1CP1,8,4,7008,138.932,2-bromophosphirane,N,BrC1CP1,"InChI=1S/C2H4BrP/c3-2-1-4-2/h2,4H,1H2",InChIKey=FDKRBLCBRCTOCV-UHFFFAOYSA-N,96.02,Pr,    96.02(BP est)    -61.10(MP est)      ----(BP exp)      ----(MP exp)  BrC1CP1 ,-61.1,Pred,N
CH2BrOP,O=PCBr,6,4,7065,140.904,(bromomethyl)(oxo)phosphane,N,O=PCBr,InChI=1S/CH2BrOP/c2-1-4-3/h1H2,InChIKey=XXQSLKKCIGEQIS-UHFFFAOYSA-N,137.34,Pr,   137.34(BP est)    -39.72(MP est)      ----(BP exp)      ----(MP exp)  O=PCBr ,-39.72,Pred,N
C2H6BrP,BrC(P)C,10,4,7077,140.948,(1-bromoethyl)phosphane,N,BrC(P)C,"InChI=1S/C2H6BrP/c1-2(3)4/h2H,4H2,1H3",InChIKey=ZKCYOBYDFZEANB-UHFFFAOYSA-N,100.3,Pr,   100.30(BP est)    -69.89(MP est)      ----(BP exp)      ----(MP exp)  BrC(P)C ,-69.89,Pred,N
C2H6BrP,BrCCP,10,4,7078,140.948,(2-bromoethyl)phosphane,N,BrCCP,"InChI=1S/C2H6BrP/c3-1-2-4/h1-2,4H2",InChIKey=WGOFPKMSBCPTEJ-UHFFFAOYSA-N,114.62,Pr,   114.62(BP est)    -58.21(MP est)      ----(BP exp)      ----(MP exp)  BrCCP ,-58.21,Pred,N
